condition,update_rule,seed,centralization,timestep,pairwise_consistency,overall_consistency,prototype_diversity
m1,unconditional,1,0.22696351267779838,40,0.5059999999999999,0.5584,0.16086117498465885
m1,unconditional,1,0.22696351267779838,60,0.5238,0.6028,0.15324327532471121
m1,unconditional,1,0.22696351267779838,80,0.5339999999999999,0.6216,0.15004967365539165
m1,unconditional,1,0.22696351267779838,100,0.5422,0.6156000000000001,0.15744871121322657
m1,unconditional,1,0.22696351267779838,120,0.5391999999999999,0.64,0.15541067142584936
m1,unconditional,1,0.22696351267779838,140,0.5514,0.6522,0.16011563775371074
m1,unconditional,1,0.22696351267779838,160,0.5778,0.6509999999999999,0.1585073777800202
m1,unconditional,1,0.22696351267779838,180,0.5718000000000001,0.65,0.16062041655236328
m1,unconditional,1,0.22696351267779838,200,0.5562,0.6472,0.16191159551128181
m1,unconditional,2,0.15481344052772625,0,0.504,0.5399999999999999,0.2888297287934778
m1,unconditional,2,0.15481344052772625,20,0.49699999999999994,0.5422,0.18105225194348823
m1,unconditional,2,0.15481344052772625,40,0.509,0.5778,0.15440403752211296
m1,unconditional,2,0.15481344052772625,60,0.5168,0.5900000000000001,0.1536919457176482
m1,unconditional,2,0.15481344052772625,80,0.5131999999999999,0.6083999999999999,0.1545825779257586
m1,unconditional,2,0.15481344052772625,100,0.5224,0.6214,0.15786944757936108
m1,unconditional,2,0.15481344052772625,120,0.5484,0.6584,0.15753631236152132
m1,unconditional,2,0.15481344052772625,140,0.5582,0.6716,0.15532119770281277
m1,unconditional,2,0.15481344052772625,160,0.5806,0.6869999999999998,0.15552329171451587
m1,unconditional,2,0.15481344052772625,180,0.5823999999999999,0.6916,0.15464496214504253
m1,unconditional,2,0.15481344052772625,200,0.6055999999999999,0.7106,0.15262525944655844
m1,conflict,0,0.15481344052772625,0,0.496,0.5334,0.29456274092017587
m1,conflict,0,0.15481344052772625,20,0.48019999999999996,0.55,0.2027908419218479
m1,conflict,0,0.15481344052772625,40,0.4935999999999999,0.5262,0.1573083892169591
m1,conflict,0,0.15481344052772625,60,0.5182,0.5556,0.131675027085273
m1,conflict,0,0.15481344052772625,80,0.5148,0.5572,0.11210348151637874
m1,conflict,0,0.15481344052772625,100,0.5162,0.5871999999999999,0.09903307457963773
m1,conflict,0,0.15481344052772625,120,0.5113999999999999,0.5521999999999999,0.09038067489931957
m1,conflict,0,0.15481344052772625,140,0.5072,0.5292,0.08021696249438494
m1,conflict,0,0.15481344052772625,160,0.4886000000000001,0.5654,0.0749238575132266
m1,conflict,0,0.15481344052772625,180,0.5137999999999999,0.6092,0.06996861934336861
m1,conflict,0,0.15481344052772625,200,0.5571999999999999,0.6574,0.06734278309930196
m1,conflict,1,0.22696351267779838,0,0.49559999999999993,0.54,0.2856771864045262
m1,conflict,1,0.22696351267779838,20,0.5044,0.5582,0.19847277144964914
m1,conflict,1,0.22696351267779838,40,0.49459999999999993,0.5579999999999999,0.1543046331690111
m1,conflict,1,0.22696351267779838,60,0.5044,0.5664,0.12962621812150313
m1,conflict,1,0.22696351267779838,80,0.514,0.5866,0.10772478704659978
m1,conflict,1,0.22696351267779838,100,0.524,0.592,0.09380964780231127
m1,conflict,1,0.22696351267779838,120,0.5264,0.6142,0.08725626865740038
m1,conflict,1,0.22696351267779838,140,0.5412,0.6295999999999999,0.08012934811116765
m1,conflict,1,0.22696351267779838,160,0.5678,0.6549999999999998,0.07384974881098287
m1,conflict,1,0.22696351267779838,180,0.6132000000000001,0.7298,0.07006196323407579
m1,conflict,1,0.22696351267779838,200,0.5231999999999999,0.618,0.06837884838342982
m1,conflict,2,0.15481344052772625,0,0.504,0.5399999999999999,0.2888297287934778
m1,conflict,2,0.15481344052772625,20,0.5056,0.5538000000000001,0.19905569823326671
m1,conflict,2,0.15481344052772625,40,0.5039999999999999,0.5506,0.15570244826215088
m1,conflict,2,0.15481344052772625,60,0.5012,0.5306000000000001,0.13283560750794882
m1,conflict,2,0.15481344052772625,80,0.49620000000000003,0.5482,0.1157987357077668
m1,conflict,2,0.15481344052772625,100,0.5638000000000001,0.6614,0.10032722237647765
m1,conflict,2,0.15481344052772625,120,0.5177999999999998,0.5856,0.09274073494908613
m1,conflict,2,0.15481344052772625,140,0.5644,0.6292,0.08381628172064984
m1,conflict,2,0.15481344052772625,160,0.5224,0.5956,0.08072210832789148
m1,conflict,2,0.15481344052772625,180,0.5394,0.6334,0.07119760091558927
m1,conflict,2,0.15481344052772625,200,0.5168,0.5925999999999999,0.0663813719733719
m1,ambiguous,0,0.15481344052772625,0,0.496,0.5334,0.29456274092017587
m1,ambiguous,0,0.15481344052772625,20,0.47879999999999995,0.5454,0.253967034590359
m1,ambiguous,0,0.15481344052772625,40,0.4952000000000001,0.5713999999999999,0.2275799211581354
m1,ambiguous,0,0.15481344052772625,60,0.5131999999999999,0.5882000000000001,0.20965180229836045
m1,ambiguous,0,0.15481344052772625,80,0.5338,0.6028,0.19431245328348823
m1,ambiguous,0,0.15481344052772625,100,0.5109999999999999,0.6076,0.18137574637126946
m1,ambiguous,0,0.15481344052772625,120,0.5386,0.6299999999999999,0.16802171645560157
m1,ambiguous,0,0.15481344052772625,140,0.5528,0.6367999999999999,0.15882661149222743
m1,ambiguous,0,0.15481344052772625,160,0.5422,0.6454000000000001,0.15237693656101764
m1,ambiguous,0,0.15481344052772625,180,0.552,0.6606000000000001,0.14466260147209234
m1,ambiguous,0,0.15481344052772625,200,0.5566,0.6764000000000001,0.13857271030570134
